ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"101053054","01"," "," "," "," "," ","0008400000"
"101053055","01","0026590000"," "," "," "," "," "
"101053057","01"," "," "," ","0006000000"," ","0004000000"
"101053060","01","0017666300"," "," "," "," "," "
"101053061","01","0034150000"," "," "," "," "," "
"101054026","01","0019750000"," "," "," "," "," "
"101054027","01","0032950000"," "," "," "," "," "
"101054033","02"," ","0018000000"," "," "," "," "
"101054034","01","0030550000"," "," "," "," "," "
"101054036","01","0025750000"," "," "," "," "," "
"101054042","01","0026830000"," "," "," "," "," "
"101054043","01","0024850000"," "," "," "," "," "
"101054044","01","0052150000"," "," "," "," "," "
"101054045","01","0037750000","0002200000"," "," "," "," "
"101054046","01"," "," ","0001440000"," "," ","0006000000"
"101054047","02","0025750000"," "," "," "," "," "
"101054048","01"," ","0010500000"," "," "," "," "
"101054051","02","0019270000"," "," "," "," "," "
"101054051","04","0018550000"," "," "," "," "," "
"101054052","01","0019750000","0001000000"," "," "," "," "
"101054054","01"," "," "," "," "," ","0006000000"
"101054055","02"," "," "," "," "," ","0005000000"
"101054060","02"," "," "," "," "," ","0001000000"
"101054060","04"," "," "," "," "," ","0006000000"
"101054062","01","0029350000"," "," "," ","0006000000"," "
"101054063","01"," ","0012000000"," "," "," ","0010000000"
"101061072","01","0014400000","0009100000"," "," "," "," "
"101061075","01"," "," "," ","0002200000"," ","0001920000"
"101062075","01"," "," "," ","0004800000"," "," "
"101063066","01","0019750000"," "," "," "," "," "
"101063068","01"," "," "," "," "," ","0002400000"
"101063070","01","0029350000"," "," "," "," "," "
"101071076","01"," ","0014400000"," "," "," "," "
"101071078","01","0017000000"," "," "," "," "," "
"101071079","01","0022000000"," "," "," "," "," "
"101071080","01"," "," "," "," "," ","0006000000"
"101072076","01"," ","0001100000"," "," "," "," "
"101072077","01","0018480000"," "," "," "," "," "
"101073071","01","0025750000"," "," "," "," "," "
"101073072","01","0028150000"," "," "," "," "," "
"101073073","02","0043750000"," "," "," "," "," "
"101073074","02"," "," "," "," "," ","0001200000"
"101073077","01"," ","0000250000"," ","0005800000"," "," "
"101073080","01","0019750000"," "," "," "," "," "
"101074071","02"," "," "," "," ","0003600000"," "
"101074072","01","0020290000"," "," "," "," "," "
"101074073","01"," ","0003900000"," "," "," "," "
"101074074","01"," ","0006600000"," "," "," "," "
"101081082","01"," ","0003300000"," "," "," "," "
"101081083","01"," ","0010200000"," "," "," "," "
"101081084","01","0016710000"," "," "," "," "," "
"101081085","01"," ","0015600000"," "," "," "," "
"101082081","01"," ","0003960000"," "," "," "," "
"101083081","01","0"," "," ","0002050000"," "," "
"101083085","01"," "," "," ","0026000000"," "," "
"101084076","01"," "," "," "," "," ","0003600000"
"101084076","02"," "," "," "," "," ","0003200000"
"101084077","01"," ","0006240000"," "," "," "," "
"101094081","01"," ","0014400000"," "," "," "," "
"101094082","01","0031750000"," "," "," ","0000600000"," "
"101094083","01","0035350000"," "," "," ","0004800000"," "
"101094083","04"," "," "," "," ","0001200000"," "
"101094084","01","0031750000"," "," "," "," "," "
"101094085","01","0020230000"," "," "," "," "," "
"101101086","01"," "," "," ","0003500000"," "," "
"101101088","01"," "," "," ","0003350000"," "," "
"101101091","01"," ","0003120000"," "," "," "," "
"101101092","01"," "," "," ","0003300000"," "," "
"101101092","03"," "," "," "," "," ","0012000000"
"101101093","01"," ","0003360000"," "," "," "," "
"101102087","01","0035600000"," "," "," "," "," "
"101102088","01"," ","0027660000"," "," "," "," "
"101102089","01"," ","0003200000"," "," "," "," "
"101102095","01"," "," "," "," "," ","0004000000"
"101103086","01"," ","0027480000"," "," "," "," "
"101103090","01"," ","0002750000"," "," "," "," "
"101104088","01"," ","0024000000"," "," "," "," "
"101104090","01","0019750000"," "," "," "," "," "
"101111096","01"," "," "," "," "," ","0027200000"
"101111097","01"," ","0003160000"," "," "," "," "
"101111099","01"," ","0015000000"," "," "," "," "
"101111100","01"," ","0011520000"," "," "," "," "
"101112096","01"," ","0144000000"," "," "," "," "
"101112097","01"," "," "," ","0007000000"," "," "
"101112098","01","0030800000","0001500000"," "," "," "," "
"101113091","01"," ","0006000000"," "," "," "," "
"101113094","01","0006000000","0007200000"," "," "," "," "
"101113099","01"," ","0004000000"," "," "," "," "
"101114091","01","0017700000"," "," "," "," "," "
"101114092","01"," ","0010000000"," "," "," "," "
"101114093","02","0013175000"," "," "," "," "," "
"101114094","01","0018300000"," "," "," "," "," "
"101114095","01","0017750000"," "," "," "," ","0000500000"
"101124096","01","0025750000"," "," "," "," "," "
"101124097","01"," "," "," ","0004670000"," "," "
"101124099","01"," "," "," "," "," ","0004800000"
"101124100","01","0","0001980000"," "," "," "," "
"101141102","05"," "," "," ","0002000000"," "," "
"101141103","04","0014470000"," "," "," "," "," "
"101141105","01"," ","0015600000"," "," "," "," "
"101142101","01","0031750000"," "," "," "," "," "
"101142101","02","0025750000"," "," "," "," "," "
"101142105","01"," ","0002000000"," "," "," "," "
"101153105","01"," "," "," ","0006550000"," "," "
"101164102","01"," "," "," ","0025750000"," "," "
"101164102","06"," "," "," ","0003100000"," "," "
"102011001","01"," "," "," "," "," ","0000080000"
"102011002","01"," "," "," "," "," ","0021000000"
"102011002","02"," "," "," "," ","0001000000"," "
"102011004","01"," "," "," "," "," ","0003000000"
"102011005","01"," "," "," "," "," ","0000200000"
"102011006","01"," "," "," "," "," ","0000050000"
"102011007","01"," ","0040000000"," "," "," ","0000200000"
"102011008","01"," ","0007740000"," "," "," ","0000300000"
"102011009","01"," "," "," "," "," ","0000100000"
"102011011","01"," ","0007200000"," "," "," ","0000180000"
"102011012","01"," "," "," "," ","0000480000"," "
"102011013","01"," "," "," ","0002800000"," "," "
"102011014","01"," ","0014400000"," "," "," ","0000120000"
"102011015","01"," ","0008400000"," "," "," ","0000150000"
"102012001","01"," "," "," "," "," ","0000100000"
"102012002","01","0017110000"," "," "," "," "," "
"102012003","01"," ","0004800000"," ","0004600000"," ","0000500000"
"102012004","01"," "," "," "," "," ","0000300000"
"102012005","01"," ","0007200000"," "," "," ","0000250000"
"102012006","01"," ","0022800000","0019750000"," "," ","0000300000"
"102012007","01"," ","0006250000"," "," "," ","0000250000"
"102012008","01","0049200000"," "," "," "," ","0000300000"
"102012009","01","0016360000"," "," "," "," ","0000300000"
"102012010","01"," "," "," "," "," ","0000500000"
"102012011","01"," "," "," ","0003000000"," "," "
"102012012","01"," "," "," "," "," ","0000030000"
"102012013","01"," "," "," "," "," ","0000200000"
"102012014","01"," ","0030000000"," "," "," ","0000500000"
"102012015","01"," ","0013650000"," "," "," ","0000050000"
"102013001","01"," ","0069000000"," "," "," ","0000300000"
"102013002","01"," "," ","0002880000"," "," ","0002800000"
"102013003","01"," ","0020000000","0010200000"," "," "," "
"102013004","01"," "," "," "," "," ","0002000000"
"102013005","01","0029851000","0014400000"," "," "," ","0000300000"
"102013005","02","0092190000"," "," "," "," "," "
"102013006","01"," ","0014400000"," "," "," ","0000200000"
"102013007","01","0041050000"," "," "," "," ","0000100000"
"102013008","01"," ","0008760000"," "," "," ","0000050000"
"102013010","01"," "," "," "," "," ","0000200000"
"102013011","01"," "," "," "," "," ","0000150000"
"102013014","01"," "," "," "," "," ","0000500000"
"102013015","01"," "," "," "," "," ","0000100000"
"102014001","01"," "," "," "," "," ","0000100000"
"102014002","01"," "," "," "," "," ","0000300000"
"102014003","01"," "," ","0004800000"," "," ","0003600000"
"102014004","01"," "," "," "," "," ","0000500000"
"102014005","01"," "," "," "," "," ","0000300000"
"102014006","01"," "," "," "," "," ","0000150000"
"102014007","01"," "," "," "," "," ","0009000000"
"102014008","01"," "," "," "," "," ","0000900000"
"102014009","01","0026350000"," "," "," "," "," "
"102014010","01"," "," "," "," "," ","0008000000"
"102021016","01","0036450000","0004000000"," "," "," ","0000100000"
"102021017","01"," "," "," "," "," ","0000120000"
"102021019","01","0028750000"," "," "," "," "," "
"102021020","01"," ","0015000000"," "," ","0017000000","0000150000"
"102021021","01"," ","0006720000"," "," "," ","0000120000"
"102021022","01"," "," "," "," "," ","0004900000"
"102021023","01"," "," "," "," "," ","0000300000"
"102021024","01"," "," "," "," "," ","0000150000"
"102021025","01"," ","0030000000"," "," "," "," "
"102021026","01"," ","0004200000"," "," "," ","0000150000"
"102021027","01"," ","0084000000"," "," "," "," "
"102021028","01"," ","0011400000"," "," ","0004000000","0000200000"
"102021029","01","0026590000","0022000000"," "," "," ","0000150000"
"102021030","01","0016150000"," "," "," "," ","0000150000"
"102022016","01"," "," "," "," "," ","0000300000"
"102022017","01","0022880000"," "," "," "," "," "
"102022018","01"," "," "," "," "," ","0000300000"
"102022018","03"," "," "," "," ","0001740000"," "
"102022019","01"," ","0016200000"," "," "," ","0000050000"
"102022020","01"," "," "," "," "," ","0000150000"
"102022021","01"," ","0036000000"," "," "," ","0000400000"
"102022022","01"," "," "," "," "," ","0000600000"
"102022023","01","0022050000"," "," "," "," ","0003800000"
"102022023","02"," "," "," "," ","0003000000"," "
"102022024","01"," "," "," "," "," ","0003000000"
"102022025","01","0017050000"," ","0018000000"," "," "," "
"102022026","01"," "," "," "," "," ","0000050000"
"102022027","01"," "," "," "," "," ","0000030000"
"102022028","01"," "," "," "," "," ","0000100000"
"102022029","01"," "," "," "," "," ","0000200000"
"102022030","01"," "," "," "," "," ","0000130000"
"102023016","01"," ","0022000000"," "," "," ","0000300000"
"102023017","01"," "," "," "," "," ","0000050000"
"102023018","01"," "," "," "," "," ","0000050000"
"102023019","01"," "," "," "," ","0020000000","0000300000"
"102023020","01"," "," "," "," "," ","0000150000"
"102023021","01"," "," ","0027000000"," "," ","0000200000"
"102023022","01"," "," "," "," "," ","0000200000"
"102023023","01"," "," "," "," "," ","0000300000"
"102023024","01"," "," "," "," "," ","0000400000"
"102023025","01"," "," "," "," "," ","0000200000"
"102023026","01"," ","0003000000"," "," "," ","0000500000"
"102023027","01"," "," "," "," "," ","0010000000"
"102023028","01"," "," "," "," "," ","0000150000"
"102023029","01"," "," "," "," "," ","0000050000"
"102023030","01","0020400000"," "," "," "," ","0015000000"
"102024011","01"," "," "," "," "," ","0000500000"
"102024012","01"," ","0021000000"," "," "," ","0000200000"
"102024013","01"," "," "," "," "," ","0000500000"
"102024014","01"," "," "," "," "," ","0000200000"
"102024015","01"," "," "," "," "," ","0008000000"
"102024016","01"," "," "," "," "," ","0000200000"
"102024017","01"," "," "," "," "," ","0000250000"
"102024017","02"," "," "," "," ","0001000000"," "
"102024018","01"," "," "," "," "," ","0000050000"
"102024019","01"," "," "," "," "," ","0000150000"
"102024020","01"," ","0011375000"," "," "," "," "
"102024021","01"," "," "," "," "," ","0000500000"
"102024022","01"," ","0005640000"," "," "," ","0000150000"
"102024023","01"," "," "," "," "," ","0000300000"
"102024024","01"," ","0045000000"," "," "," ","0000500000"
"102024025","01"," "," "," "," "," ","0000200000"
"102041031","01"," ","0038400000"," "," "," ","0000350000"
"102041033","01"," "," "," "," "," ","0000350000"
"102041035","01"," "," "," "," "," ","0000280000"
"102041036","01"," "," "," "," "," ","0003000000"
"102041037","01"," "," "," "," "," ","0001000000"
"102041038","01","0025347760"," "," "," "," "," "
"102041039","01","0017708800"," "," "," "," "," "
"102041040","01","0026870800"," "," "," "," ","0017000000"
"102042031","01"," "," "," "," "," ","0000200000"
"102042032","01"," "," "," "," "," ","0000150000"
"102042034","01","0024650000"," "," "," "," ","0000050000"
"102042035","01"," "," "," "," "," ","0000140000"
"102043031","01"," "," "," "," "," ","0000300000"
"102043031","03"," ","0002500000"," "," "," "," "
"102043032","01"," "," "," "," "," ","0000600000"
"102043034","01","0026350000"," "," "," "," "," "
"102043035","01","0025950000"," ","0006000000"," "," "," "
"102044027","01"," "," "," "," "," ","0000100000"
"102044028","01"," "," "," "," "," ","0000130000"
"102044029","01"," ","0002200000"," "," "," "," "
"102044031","01"," "," "," "," "," ","0000150000"
"102044032","01"," ","0012000000"," "," "," "," "
"102044033","01"," "," "," "," "," ","0000200000"
"102044035","01","0033740000"," "," "," "," "," "
"102051041","01","0032350000"," "," "," ","0005000000"," "
"102051042","01"," "," "," "," "," ","0000150000"
