ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"000074169","01"," ","0003500000"," ","0002600000"," ","0005000000"
"000074179","01","0002975000"," "," "," "," "," "
"000074179","02","0000775000"," "," "," "," "," "
"000091192","01"," "," "," "," "," ","0005000000"
"000092191","01"," "," "," ","0001160000"," ","0001000000"
"000092191","02"," "," "," ","0000960000"," "," "
"000092192","01"," "," "," ","0002700000"," ","0000500000"
"000092193","01"," "," "," ","0001200000"," ","0000400000"
"000092194","01"," "," ","0004800000"," "," "," "
"000092195","01","0019500000"," "," "," "," "," "
"000094186","01"," "," "," "," ","0004000000"," "
"000094188","01","0048840000"," "," "," "," "," "
"000094189","01","0025500000"," "," "," "," "," "
"001011001","01","0016150000"," "," "," "," "," "
"001011002","01"," "," "," ","0004150000"," "," "
"001011003","01"," "," "," ","0019000000"," "," "
"001012001","01","0030700000"," "," "," "," "," "
"001012004","01"," "," "," ","0003900000"," "," "
"001021009","01"," ","0007000000"," "," "," "," "
"001021010","01"," "," "," ","0006100000"," "," "
"001022006","01"," "," "," ","0005700000"," "," "
"001022009","01"," ","0010500000"," "," "," "," "
"001023004","01"," ","0008400000"," ","0005750000"," "," "
"001023007","01","0021900000"," "," "," "," "," "
"001024001","01"," ","0012000000"," "," "," "," "
"001024010","03"," "," "," ","0004200000"," "," "
"001031011","01","0025900000"," "," "," "," "," "
"001032013","01","0017520000","0003500000"," "," "," "," "
"001041017","01"," "," "," ","0001300000"," "," "
"001041019","01"," ","0003400000"," "," "," "," "
"001041021","01"," "," "," ","0004100000"," "," "
"001041022","01"," "," "," ","0005300000"," "," "
"001041025","01"," ","0003600000"," ","0002300000"," "," "
"001042019","01"," "," "," ","0000600000"," "," "
"001042020","01"," "," "," "," ","0001000000"," "
"001042022","01","0013750000","0007000000"," "," "," "," "
"001042024","06"," "," "," ","0003180000"," "," "
"001043011","01","0","0001054000"," "," "," "," "
"001043013","01"," ","0003250000"," ","0004280000"," "," "
"001043013","02"," "," "," "," "," ","0000900000"
"001043016","01"," "," ","0004200000","0004750000"," "," "
"001043017","01","0022150000","0001000000"," "," "," "," "
"001043018","01"," "," "," "," ","0000740000"," "
"001043020","01","0007500000"," "," "," "," "," "
"001044014","01"," "," "," ","0019750000"," "," "
"001044017","01"," "," "," "," "," ","0004000000"
"001044018","01"," "," "," ","0005500000"," "," "
"001044020","01"," "," "," ","0004700000"," ","0001050000"
"001051027","01"," ","0014000000"," "," "," "," "
"001051030","01"," "," "," ","0004600000"," "," "
"001051033","01","0025750000"," "," "," "," "," "
"001051036","01"," ","0004680000"," "," "," "," "
"001051037","01"," "," "," ","0003550000"," "," "
"001051039","01","0014350000"," "," "," "," "," "
"001051042","01"," "," "," "," ","0000750000"," "
"001051043","02"," ","0001300000"," "," "," "," "
"001051044","02"," "," "," "," ","0000150000"," "
"001051045","01","0012600000"," "," "," "," "," "
"001051046","01"," "," "," ","0006900000"," "," "
"001051047","05"," "," "," ","0001800000"," "," "
"001052027","01"," ","0004500000"," ","0002800000"," "," "
"001052032","01"," ","0003200000"," "," "," "," "
"001052033","03"," "," "," "," ","0000500000"," "
"001052034","01","0016920000"," "," "," "," "," "
"001052035","01"," "," "," ","0003260000"," "," "
"001052042","03","0038000000"," "," "," "," "," "
"001052043","01","0021900000","0005040000"," "," "," "," "
"001052045","01","0040350000"," "," "," "," "," "
"001052046","01"," ","0003000000"," ","0005750000"," "," "
"001052047","01","0015790000"," "," "," "," ","0002500000"
"001053021","01"," "," "," ","0003550000"," "," "
"001053023","01","0027070000"," "," "," "," "," "
"001053025","01","0098000000"," "," "," "," "," "
"001053026","01"," ","0001800000"," ","0005350000"," "," "
"001053027","01","0"," "," ","0001700000"," "," "
"001053027","02"," "," "," ","0001700000"," "," "
"001053028","01"," ","0002500000"," ","0003000000"," "," "
"001053031","01"," "," "," ","0006000000"," "," "
"001053037","01"," "," "," ","0006000000"," "," "
"001053038","01","0026000000"," "," "," "," "," "
"001053043","01"," "," "," ","0003350000"," "," "
"001053046","01","0019750000","0025400000"," "," "," "," "
"001053047","01"," "," "," ","0004150000"," "," "
"001053048","01"," ","0003250000"," "," "," "," "
"001054021","01"," ","0007500000"," "," "," "," "
"001054024","01"," ","0012200000"," ","0002100000"," "," "
"001054025","01"," ","0002500000"," "," "," "," "
"001054026","01","0","0015000000"," "," "," "," "
"001054027","01","0017030000"," "," "," "," "," "
"001054030","01"," ","0002200000"," "," "," "," "
"001054031","01"," "," "," "," ","0000750000"," "
"001054033","01","0019500000"," "," "," "," "," "
"001054034","01","0019750000"," "," "," "," "," "
"001054035","01","0027500000"," "," "," "," "," "
"001054038","01","0019750000","0002100000"," "," "," "," "
"001054039","01"," ","0002700000"," ","0025510000"," "," "
"001054040","04","0"," "," ","0002200000"," "," "
"001054044","04"," "," "," ","0001000000"," "," "
"001054046","01"," "," "," "," ","0006000000"," "
"001054047","01"," ","0002205000"," ","0031750000"," "," "
"001054048","01"," ","0003000000"," ","0004950000"," "," "
"001054049","01"," "," "," ","0003750000"," "," "
"001061051","01"," "," "," ","0002950000"," "," "
"001061052","02"," "," "," "," "," ","0005000000"
"001061053","01","0019000000"," "," "," "," "," "
"001061055","02"," "," "," "," "," ","0000700000"
"001062051","01"," "," "," ","0003900000"," "," "
"001062052","01"," "," "," ","0003400000","0000500000"," "
"001062053","04"," "," "," ","0004540000"," "," "
"001062054","01"," "," "," ","0005500000","0000400000"," "
"001063052","01"," "," "," ","0003850000"," "," "
"001063053","01","0017350000"," "," "," "," "," "
"001064051","01","0023350000"," "," "," "," "," "
"001064053","01"," "," "," ","0004550000"," ","0001800000"
"001064054","01","0025750000"," "," "," "," "," "
"001064054","02"," "," "," "," ","0000450000"," "
"001071056","01"," ","0012500000"," "," "," "," "
"001071060","04"," "," "," ","0001200000"," "," "
"001071060","05"," "," "," ","0001200000"," "," "
"001071061","01"," ","0008000000"," "," "," "," "
"001071062","01"," ","0022700000"," "," "," "," "
"001071063","01"," "," "," "," "," ","0003500000"
"001071064","01"," ","0015600000"," "," "," ","0003000000"
"001071065","01","0014470000"," "," "," "," "," "
"001072056","01"," ","0004200000"," "," "," "," "
"001072056","02"," "," "," "," ","0003000000"," "
"001072058","01","0019370000"," "," "," "," "," "
"001072060","01","0121750000"," "," "," "," "," "
"001072062","01"," ","0000700000"," "," "," "," "
"001072062","02"," "," "," ","0003900000"," "," "
"001073057","02","0"," "," "," "," ","0002500000"
"001074056","01"," "," "," ","0003000000"," ","0006000000"
"001074060","01","0019750000","0003500000"," "," "," ","0004000000"
"001081067","01","0025750000"," "," "," ","0000720000"," "
"001081071","01"," "," "," "," "," ","0000300000"
"001081072","01"," ","0002200000"," "," "," "," "
"001081073","01"," "," "," ","0003800000"," "," "
"001081075","01"," ","0007000000"," "," ","0001800000"," "
"001082067","01"," ","0007200000"," "," "," "," "
"001082069","01"," "," "," ","0003350000"," "," "
"001082069","02"," "," "," "," "," ","0003600000"
"001083061","01"," "," "," ","0005240000"," "," "
"001083062","04"," "," "," ","0004550000"," "," "
"001083064","01"," "," "," "," "," ","0003880000"
"001083066","01"," ","0002250000"," ","0006400000"," "," "
"001083068","01","0018000000"," "," "," "," "," "
"001083070","01"," "," "," ","0008900000"," "," "
"001084061","01"," "," "," "," "," ","0007200000"
